publish,score,title
[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.5,不能承受的生命之轻
（清）沈复 / 人民文学出版社 / 1999-1 / 5.70元,8.8,浮生六记
江南 / 新世界出版社 / 2005-6 / 20.00元,8.8,九州·缥缈录
錢穆 / 商務印書館 / 2013-8 / 76.00元,9.3,國史大綱（上下）
老舍 / 北京十月文艺出版社 / 2008-07 / 36.00元,9.3,四世同堂
[阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00,8.9,小径分岔的花园
林达 / 生活·读书·新知三联书店 / 2004-08 / 25.00元,9.0,我也有一个梦想
都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,8.9,亮剑
龙应台 / 文汇出版社 / 2005-8 / 25.00元,8.8,野火集
(英)W.萨默塞特·毛姆 / 阮景林 / 重庆 / 2012-05-01 / 32.00元,8.7,面纱
[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,8.8,银河系漫游指南
李娟 / 云南人民出版社 / 2010-7 / 22.00元,8.8,我的阿勒泰
张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,半生缘
吴楚材 / 中华书局 / 1987-1-1 / 21.00元,9.1,古文观止
[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,麦琪的礼物
吴晓波 / 中信出版社 / 2008-7-1 / 32.00元,8.6,激荡三十年
王小波 / 时代文艺出版社 / 2009-1 / 30.00元,9.0,绿毛水怪
[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-5-1 / 32.00元,9.2,昨日的世界
汪曾祺 / 漓江出版社 / 1987-10 / 3.95元,9.3,受戒
八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7,你好，旧时光（上 下）
[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元,8.7,枪炮、病菌与钢铁
[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.6,我的天才女友
刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,民主的细节
[美] 罗伯特·麦基 / 周铁东 / 天津人民出版社 / 2014-9-1 / 68.00元,9.2,故事
阿城 / 作家出版社 / 1999-10 / 13.00,8.8,棋王
[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,杀死一只知更鸟
[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,9.0,月亮和六便士
金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0,笑傲江湖（全四册）
[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,肖申克的救赎
鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,9.0,呐喊
大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0,基督山伯爵
[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,东方快车谋杀案
钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,中国历代政治得失
[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,万历十五年
[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,嫌疑人X的献身
[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.1,新名字的故事
[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,9.2,失踪的孩子
[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.1,江城
[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,寻路中国
